"reviewer_id","state","city","street","latitude","longitude","rating_count","review_time","review_date","days_since_review","rating_num"
"28489","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","5"
"28490","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28491","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 years ago","2023-06-02","730","1"
"28492","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","1"
"28493","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","5"
"28494","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","5"
"28495","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","11 months ago","2024-07-06","330","3"
"28496","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","1"
"28497","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","4"
"28498","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","4"
"28499","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","1"
"28500","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","5 years ago","2020-06-02","1825","1"
"28501","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","4 years ago","2021-06-02","1460","3"
"28502","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","1"
"28503","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","2 months ago","2025-04-02","60","1"
"28504","FL","Kissimmee","5725 W Irlo Bronson Memorial Hwy","28.333508","-81.513738","5567","3 years ago","2022-06-02","1095","3"
